,correct_sentence,wrong_sentence
37,이웃이 밉지 말자.,이웃이밉지말자.
38,나는 앞으로 불쌍한 이를 돕겠다.,나는앞으로불쌍한이를돕겠다.
39,너는 앞으로 불쌍한 이를 돕겠다.,너는앞으로불쌍한이를돕겠다.
40,도둑이 칼을 들고 밥을 먹는다.,도둑이칼을들고밥을먹는다.
41,도둑이 칼을 들어서 밥을 먹는다.,도둑이칼을들어서밥을먹는다.
42,창수가 편지를 써 주었다.,창수가편지를써주었다.
43,창수가 편지를 쓰고 주었다.,창수가편지를쓰고주었다.
44,철수가 그림을 매우 잘 그린다.,철수가그림을매우잘그린다.
45,철수가 그림을 매우는 잘 그린다.,철수가그림을매우는잘그린다.
46,철수가 추워하느냐?,철수가추워하느냐?
47,철수가 추우냐?,철수가추우냐?
48,먹은 바를 다 소화시켜야 한다.,먹은바를다소화시켜야한다.
49,영자가 철수랑 영수랑과 싸운다.,영자가철수랑영수랑과싸운다.
50,영자가 철수와 영수와랑 싸운다.,영자가철수와영수와랑싸운다.
51,그는 살인했다는 죄목으로 처형되었다.,그는살인했다는죄목으로처형되었다.
52,그는 살인한 죄목으로 처형되었다.,그는살인한죄목으로처형되었다.
53,내일까지 계속 손 들고 있어!,내일까지계속손들고있어!
54,내일까지 계속 손 들어!,내일까지계속손들어!
55,사람은 언제나 젊을 수는 없다.,사람은언제나젊을수는없다.
56,저 아이에게 이 그릇을 선반에 얹히세요.,저아이에게이그릇을선반에얹히세요.
57,저 아이에게 이 그릇이 선반에 얹혔다.,저아이에게이그릇이선반에얹혔다.
58,언어는 사회적 약속이다. 그것은 소쉬르의 정의다.,언어는사회적약속이다.그것은소쉬르의정의다.
59,언어는 사회적 약속이다. 언어는 사회적 약속이다는 소쉬르의 정의다.,언어는사회적약속이다.언어는사회적약속이다는소쉬르의정의다.
60,그는 지금 간다.,그는지금간다.
61,그는 지금 갔었다.,그는지금갔었다.
62,그가 팔을 곧이 뻗는다.,그가팔을곧이뻗는다.
63,나는 그를 길에서 우연히 만났다.,나는그를길에서우연히만났다.
64,나는 그를 길에서 우연히 만나 주었다.,나는그를길에서우연히만나주었다.
65,그가 내 차를 고장 내어 놓았다.,그가내차를고장내어놓았다.
66,그가 내 차를 고장 내어 두었다.,그가내차를고장내어두었다.
67,그가 나를 시큰둥하니 안다.,그가나를시큰둥하니안다.
68,그가 시큰둥하니 나를 안다.,그가시큰둥하니나를안다.
69,그들은 기꺼이 자동차에 탔다.,그들은기꺼이자동차에탔다.
70,그들은 기꺼이 자동차에 다 타졌다.,그들은기꺼이자동차에다타졌다.
71,나는 책상을 방에서 마루로 옮겼다.,나는책상을방에서마루로옮겼다.
72,나는 책상을 방에서 마루에 놓았다.,나는책상을방에서마루에놓았다.
73,"나는 ""역시 영희가 철수보다 낫구나."" 하고 느꼈다.","나는""역시영희가철수보다낫구나.""하고느꼈다."
74,"나는 ""역시 영희가 철수보다 낫구나""라고 느꼈다.","나는""역시영희가철수보다낫구나""라고느꼈다."
75,그가 나를 굳이 따라온다.,그가나를굳이따라온다.
76,그가 나를 굳게 따라온다.,그가나를굳게따라온다.
77,철수가 자오.,철수가자오.
78,천재일지라도 그 문제는 풀지 못할 것이다.,천재일지라도그문제는풀지못할것이다.
79,천재이더라도 그 문제는 풀지 못할 것이다.,천재이더라도그문제는풀지못할것이다.
80,노인이 혼자 사는 것이 매우 안 됐어서 쌀을 한 말 보내 주었다.,노인이혼자사는것이매우안됐어서쌀을한말보내주었다.
81,노인이 혼자 사는 것이 아직 안 됐어서 쌀을 한 말 보내 주었다.,노인이혼자사는것이아직안됐어서쌀을한말보내주었다.
82,나는 그는 노래를 부르고는 피아노를 쳤다.,나는그는노래를부르고는피아노를쳤다.
83,철수가 영수의 손을 잡고 눈물을 글썽거렸다.,철수가영수의손을잡고눈물을글썽거렸다.
84,내가 영희가 좋더라.,내가영희가좋더라.
85,내가 영희를 좋아를 하더라.,내가영희를좋아를하더라.
86,철수가 부자는 되었다.,철수가부자는되었다.
87,부자는 철수가 되었다.,부자는철수가되었다.
88,마음이 든든은 한데 개운치는 못하다.,마음이든든은한데개운치는못하다.
89,이 사람은 학생이다.,이사람은학생이다.
90,사람은 학생이다.,사람은학생이다.
91,그는 나에게 돈을 빌려 준 일이 있다.,그는나에게돈을빌려준일이있다.
92,그는 나에게 돈을 빌려 주었다는 일이 있다.,그는나에게돈을빌려주었다는일이있다.
93,나는 그 말이 웅변적이 아니라고 생각한다.,나는그말이웅변적이아니라고생각한다.
94,나는 웅변적을 그 말이 아니라고 생각한다.,나는웅변적을그말이아니라고생각한다.
95,믿거나 말거나 하시오!,믿거나말거나하시오!
96,믿거나 마시오!,믿거나마시오!
97,그는 얼굴이 아주 못났다.,그는얼굴이아주못났다.
98,그는 얼굴이 못 아주 났다.,그는얼굴이못아주났다.
99,나는 종소리가 더 잘 들리더라.,나는종소리가더잘들리더라.
100,나는 종소리를 더 잘 듣더라.,나는종소리를더잘듣더라.
101,경찰은 나를 살인범이라고 취급했다.,경찰은나를살인범이라고취급했다.
102,이 물건은 나와 영수한테 공용된다.,이물건은나와영수한테공용된다.
103,이 물건은 우리와 공용된다.,이물건은우리와공용된다.
104,나는 철수에게 추우냐고 물었다.,나는철수에게추우냐고물었다.
105,나는 철수에게 추워하느냐고 물었다.,나는철수에게추워하느냐고물었다.
106,그의 업적은 길게 빛난다.,그의업적은길게빛난다.
107,마시면서 이야기해라.,마시면서이야기해라.
108,마시지 말면서 이야기해라.,마시지말면서이야기해라.
109,놀라서 기가 막혔다.,놀라서기가막혔다.
110,놀라서 기가 막아졌다.,놀라서기가막아졌다.
111,그 문을 10분 동안 닫아 놓았다가 열었다.,그문을10분동안닫아놓았다가열었다.
112,그 문을 10분 동안 닫았다가 열었다.,그문을10분동안닫았다가열었다.
113,누가 이 반에서 달리기를 제일 잘 하느냐?,누가이반에서달리기를제일잘하느냐?
114,누구는 이 반에서 달리기를 제일 잘 하느냐?,누구는이반에서달리기를제일잘하느냐?
115,너는 그 거지가 왕자라는 사실을 알고 있느냐?,너는그거지가왕자라는사실을알고있느냐?
116,너는 그 거지는 왕자라는 사실을 알고 있느냐?,너는그거지는왕자라는사실을알고있느냐?
117,너는 사기꾼이 좋으냐?,너는사기꾼이좋으냐?
118,철수는 사기꾼이 좋으냐?,철수는사기꾼이좋으냐?
119,아저씨를 무서워하지 말아라.,아저씨를무서워하지말아라.
120,아저씨가 무섭지 말아라.,아저씨가무섭지말아라.
121,순경이 시계를 훔친 도둑놈을 잡았다.,순경이시계를훔친도둑놈을잡았다.
122,순경이 시계는 훔친 도둑놈을 잡았다.,순경이시계는훔친도둑놈을잡았다.
123,악동들은 일부러 잔디를 뽑았다.,악동들은일부러잔디를뽑았다.
124,악동들에게는 일부러 잔디가 뽑혔다.,악동들에게는일부러잔디가뽑혔다.
125,철수가 이 나무를 뽑아라.,철수가이나무를뽑아라.
126,철수에게 이 나무가 뽑혀라.,철수에게이나무가뽑혀라.
127,철학자는 상식을 연구를 한다.,철학자는상식을연구를한다.
128,철학자는 상식을 깊은 연구를 한다.,철학자는상식을깊은연구를한다.
129,무너진 담을 그대로 두었다.,무너진담을그대로두었다.
130,무너진 담을 그대로 놓았다.,무너진담을그대로놓았다.
131,철수가 학교에 가서 공부한다.,철수가학교에가서공부한다.
132,철수가 학교에 가지 않아서 공부한다.,철수가학교에가지않아서공부한다.
133,철수가 더워하느냐?,철수가더워하느냐?
134,철수가 더우냐?,철수가더우냐?
135,죽이든 살리든 해라!,죽이든살리든해라!
136,죽이든 살려라!,죽이든살려라!
137,나는 이 사건의 주모자를 네가 된다고 들었다.,나는이사건의주모자를네가된다고들었다.
138,나는 네가 이 사건의 주모자를 된다고 들었다.,나는네가이사건의주모자를된다고들었다.
139,내가 그 일을 맡자.,내가그일을맡자.
140,네가 그 일을 맡자.,네가그일을맡자.
141,절대로 오지 말아라.,절대로오지말아라.
142,절대로 와라.,절대로와라.
143,그는 계획을 밀고 나간다.,그는계획을밀고나간다.
144,그는 계획을 밀고 계속해서 나간다.,그는계획을밀고계속해서나간다.
145,별이 연거푸 반짝한다.,별이연거푸반짝한다.
146,아무리 밀어도 밀리지 않는다.,아무리밀어도밀리지않는다.
147,아무리 밀어 놓아도 밀리지 않는다.,아무리밀어놓아도밀리지않는다.
148,버스와 막 화물차가 부딪쳤다.,버스와막화물차가부딪쳤다.
149,화초가 시들었습니다. 꽃밭에 물을 줄까?,화초가시들었습니다.꽃밭에물을줄까?
150,철수가 어머니에게 빨리 떠나자고 말했다.,철수가어머니에게빨리떠나자고말했다.
151,철수가 어머니에게 우리가 빨리 떠나자고 말했다.,철수가어머니에게우리가빨리떠나자고말했다.
152,바위에 구멍이 쉽게 뚫어졌다.,바위에구멍이쉽게뚫어졌다.
153,바위에 구멍이 쉽게 뚫리었다.,바위에구멍이쉽게뚫리었다.
154,뛰지 않겠으면 뛰지 말아라.,뛰지않겠으면뛰지말아라.
155,뛰겠으면 뛰지 말아라.,뛰겠으면뛰지말아라.
156,이 작은 글씨는 확대경으로 읽어졌다.,이작은글씨는확대경으로읽어졌다.
157,이 작은 글씨는 확대경에 읽어졌다.,이작은글씨는확대경에읽어졌다.
158,영자가 영수와 헤어졌다.,영자가영수와헤어졌다.
159,영자가 영수하고 헤어졌다.,영자가영수하고헤어졌다.
160,그는 버스에서 의자에 앉았다.,그는버스에서의자에앉았다.
161,그는 버스에 의자에 앉았다.,그는버스에의자에앉았다.
162,철호가 성실하다고 나에게 보인다.,철호가성실하다고나에게보인다.
163,나는 이 사건의 주모자를 너라고 들었다.,나는이사건의주모자를너라고들었다.
164,나는 네가 이 사건의 주모자를이라고 들었다.,나는네가이사건의주모자를이라고들었다.
165,나는 유학하려고 한다.,나는유학하려고한다.
166,나는 유학했으려고 한다.,나는유학했으려고한다.
167,창수는 아침 일찍 학교에 뛰어 걸어갔다.,창수는아침일찍학교에뛰어걸어갔다.
168,창수는 아침 일찍 학교에 뛰었다.,창수는아침일찍학교에뛰었다.
169,영수가 동생이 퍽 아프다.,영수가동생이퍽아프다.
170,영수의 퍽 동생이 아프다.,영수의퍽동생이아프다.
171,그 아이가 넘어지지 않도록 해.,그아이가넘어지지않도록해.
172,그 아이가 넘어지지 말도록 해.,그아이가넘어지지말도록해.
173,어제 비가 와서 땅이 질었다.,어제비가와서땅이질었다.
174,내일 비가 와서 땅이 질겠다.,내일비가와서땅이질겠다.
175,복남이는 칼을 연필과 함께 샀다.,복남이는칼을연필과함께샀다.
176,복남이는 칼을 연필과 샀다.,복남이는칼을연필과샀다.
177,소녀가 차분하니 앉아 있다.,소녀가차분하니앉아있다.
178,소녀가 외롭니 앉아 있다.,소녀가외롭니앉아있다.
179,그곳에 가지 말아라.,그곳에가지말아라.
180,그곳에 가지 않아라.,그곳에가지않아라.
181,저고리가 아이에게 입혀졌다.,저고리가아이에게입혀졌다.
182,저고리가 아이에게 입어졌다.,저고리가아이에게입어졌다.
183,그것을 사랑이라고 부르기로 한다.,그것을사랑이라고부르기로한다.
184,그것을 사랑이라고 부르기로 부른다.,그것을사랑이라고부르기로부른다.
185,나는 전세가 불리하다고 한 사실을 알았다.,나는전세가불리하다고한사실을알았다.
186,나는 전세가 불리하다고 할 사실을 알았다.,나는전세가불리하다고할사실을알았다.
187,소년이 방금 한 명이 왔다.,소년이방금한명이왔다.
188,소년 방금 한 명이 왔다.,소년방금한명이왔다.
189,선생님이 학생들에게 놀자고 먼저 제안하셨다.,선생님이학생들에게놀자고먼저제안하셨다.
190,선생님이 학생들에게 우리가 놀자고 제안하셨다.,선생님이학생들에게우리가놀자고제안하셨다.
191,비가 그렇게 많이 오는데 그가 올 리가 있느냐.,비가그렇게많이오는데그가올리가있느냐.
192,비가 그렇게 많이 오는데 그가 올 리를 있느냐.,비가그렇게많이오는데그가올리를있느냐.
193,마음이 든든을 하다.,마음이든든을하다.
194,마음이 든든을 하고 있다.,마음이든든을하고있다.
195,손님은 물건을 손수 고른다.,손님은물건을손수고른다.
196,물건이 손수 손님에게 골라진다.,물건이손수손님에게골라진다.
197,나는 오늘의 이 기쁨을 마음껏 기뻐하겠다.,나는오늘의이기쁨을마음껏기뻐하겠다.
198,나는 오늘의 이 기쁨이 마음껏 기쁘겠다.,나는오늘의이기쁨이마음껏기쁘겠다.
199,철수는 영화를 보고 싶어 한다.,철수는영화를보고싶어한다.
200,철수는 영화가 보고 싶어 한다.,철수는영화가보고싶어한다.
201,영수가 밥을 먹고 학교에 갔다.,영수가밥을먹고학교에갔다.
202,영수가 밥을 먹어서 학교에 갔다.,영수가밥을먹어서학교에갔다.
203,철수는 갔지만 창수는 안 갔다.,철수는갔지만창수는안갔다.
204,철수는 갔지만 창수는 갔다.,철수는갔지만창수는갔다.
205,창문 밖으로 내다 빨리 보아라.,창문밖으로내다빨리보아라.
206,난 쇠고기는 먹어도 돼지고기는 안 먹는다.,난쇠고기는먹어도돼지고기는안먹는다.
207,난 쇠고기를 먹어도 돼지고기를 안 먹는다.,난쇠고기를먹어도돼지고기를안먹는다.
208,나는 너를 이 사건의 주모자라고 들었다.,나는너를이사건의주모자라고들었다.
209,나는 너를 이 사건의 주모자를이라고 들었다.,나는너를이사건의주모자를이라고들었다.
210,그의 눈동자는 까만 빛이 난다.,그의눈동자는까만빛이난다.
211,그의 눈동자는 까만 빛 난다.,그의눈동자는까만빛난다.
212,순이가 점심을 먹지를 않는다.,순이가점심을먹지를않는다.
213,순이가 점심을 먹지가 않는다.,순이가점심을먹지가않는다.
214,철수가 제 방에서 자서 제 방에 간다.,철수가제방에서자서제방에간다.
215,철수는 모자를 쓰며 간다.,철수는모자를쓰며간다.
216,굴뚝이 저절로 막히었다.,굴뚝이저절로막히었다.
217,굴뚝이 저절로 막아졌다.,굴뚝이저절로막아졌다.
218,음식이 넉넉히 마련되었다.,음식이넉넉히마련되었다.
219,음식이 마련됨이 넉넉했다.,음식이마련됨이넉넉했다.
220,네가 할 수 있겠는지 없겠는지 알아보아라.,네가할수있겠는지없겠는지알아보아라.
221,네가 할 수 있겠거나 없겠거나 알아보아라.,네가할수있겠거나없겠거나알아보아라.
222,그는 아주 화가 났다.,그는아주화가났다.
223,그는 굉장한 화가 났다.,그는굉장한화가났다.
224,내가 산 물건이 책이다.,내가산물건이책이다.
225,내가 산 물건이 사실이다.,내가산물건이사실이다.
226,철수는 내가 책을 주었다.,철수는내가책을주었다.
227,내가 철수는 책을 주었다.,내가철수는책을주었다.
228,영수가 그 새를 죽게 했기 때문에 그 새가 죽었다.,영수가그새를죽게했기때문에그새가죽었다.
229,영수가 그 새를 죽였기 때문에 그 새가 죽었다.,영수가그새를죽였기때문에그새가죽었다.
230,그 건물은 왼쪽 벽에 많은 유리창을 하였다.,그건물은왼쪽벽에많은유리창을하였다.
231,영철이가 우체국에 가서 편지를 부쳤다.,영철이가우체국에가서편지를부쳤다.
232,영철이가 우체국에 가고 편지를 부쳤다.,영철이가우체국에가고편지를부쳤다.
233,그이가 발음이 똑똑하게 말한다.,그이가발음이똑똑하게말한다.
234,그이가 발음이 똑똑히 말한다.,그이가발음이똑똑히말한다.
235,어디를 가나 살기 어렵기는 마찬가지다.,어디를가나살기어렵기는마찬가지다.
236,어디는 가나 살기 어렵기는 마찬가지다.,어디는가나살기어렵기는마찬가지다.
237,그가 꽃을 화분들에 심었다.,그가꽃을화분들에심었다.
238,그가 꽃을 화분에들 심었다.,그가꽃을화분에들심었다.
239,명수는 창수에게 밥을 지어다 주었다.,명수는창수에게밥을지어다주었다.
240,명수는 창수에게 집을 지어다 주었다.,명수는창수에게집을지어다주었다.
241,그가 칼을 갈아 놓았다.,그가칼을갈아놓았다.
242,그는 칼을 써 놓았다.,그는칼을써놓았다.
243,철호가 편지를 써서 부쳤다.,철호가편지를써서부쳤다.
244,철호가 편지를 쓰고 부쳤다.,철호가편지를쓰고부쳤다.
245,범죄가 사실로 드러났다.,범죄가사실로드러났다.
246,범죄가 사실이 드러났다.,범죄가사실이드러났다.
247,나는 그의 결정이 옳았다고 견해를 가지고 있다.,나는그의결정이옳았다고견해를가지고있다.
248,우리들에게 그 책이 없다들.,우리들에게그책이없다들.
249,우리에게들 그 책이 없다.,우리에게들그책이없다.
250,준비가 안 돼서 아직 못 떠나고 있다.,준비가안돼서아직못떠나고있다.
251,준비가 안 됐어서 아직 못 떠나고 있다.,준비가안됐어서아직못떠나고있다.
252,철호가 종이를 벽을 발랐다.,철호가종이를벽을발랐다.
253,철호가 종이로 벽에 발랐다.,철호가종이로벽에발랐다.
254,내가 춥다.,내가춥다.
255,그이가 춥다.,그이가춥다.
256,철수는 종소리를 더 잘 듣더라.,철수는종소리를더잘듣더라.
257,그 친구는 내게 와라 말아라 한다.,그친구는내게와라말아라한다.
258,그 친구는 내게 말아라 와라 한다.,그친구는내게말아라와라한다.
259,손을 씻고 밥을 먹어라.,손을씻고밥을먹어라.
260,손을 씻어서 밥을 먹어라.,손을씻어서밥을먹어라.
261,네가 학교에 가라!,네가학교에가라!
262,철수가 학교에 가라!,철수가학교에가라!
263,네가 더우냐?,네가더우냐?
264,술에 취하니 머리가 어지러웠다.,술에취하니머리가어지러웠다.
265,술에 취하더니 머리가 어지러웠다.,술에취하더니머리가어지러웠다.
266,내 기대가 네 행위에서 어긋났고 네 행위가 내 기대에서 어긋났다.,내기대가네행위에서어긋났고네행위가내기대에서어긋났다.
267,내 기대가 네 행위에서 어긋나고서 네 행위가 내 기대에서 어긋났다.,내기대가네행위에서어긋나고서네행위가내기대에서어긋났다.
268,사치품을 사지 말아라!,사치품을사지말아라!
269,사치품 안 사기를 해라!,사치품안사기를해라!
270,시장에 많은 팥이 났다.,시장에많은팥이났다.
271,시장에 많이 팥이 났다.,시장에많이팥이났다.
272,체온이 싸늘하니 식었다.,체온이싸늘하니식었다.
273,체온이 식음이 싸늘하다.,체온이식음이싸늘하다.
274,축대가 무너지지 않도록 해라.,축대가무너지지않도록해라.
275,축대가 무너지지 말도록 해라.,축대가무너지지말도록해라.
276,네가 한 턱 내라.,네가한턱내라.
277,내가 한 턱 내라.,내가한턱내라.
278,순이가 학교에 남아서 공부한다.,순이가학교에남아서공부한다.
279,순이가 학교에 남고 공부한다.,순이가학교에남고공부한다.
280,네가 말 조심 해라.,네가말조심해라.
281,내가 말 조심 해라.,내가말조심해라.
282,나는 먼 산을 보고 있다.,나는먼산을보고있다.
283,성이 나서 날뛰는 사람은 물과 불을 모른다.,성이나서날뛰는사람은물과불을모른다.
284,상자를 밀었으나 밀리지 않았다.,상자를밀었으나밀리지않았다.
285,"상자를 밀어 놓았으나, 밀리지 않았다.","상자를밀어놓았으나,밀리지않았다."
286,눈 앞에 큰 산이 보였다.,눈앞에큰산이보였다.
287,눈 앞에 큰 산이 보아졌다.,눈앞에큰산이보아졌다.
288,그 생선이 잘 굽혀 있다.,그생선이잘굽혀있다.
289,생선이 굽혀 놓았다.,생선이굽혀놓았다.
290,너는 영화를 보고 싶으냐?,너는영화를보고싶으냐?
291,너는 영화를 보고 싶어하느냐?,너는영화를보고싶어하느냐?
292,그는 사원으로 일한다.,그는사원으로일한다.
293,그는 사원이 일한다.,그는사원이일한다.
294,순이가 빵을 만들어서 먹었다.,순이가빵을만들어서먹었다.
295,순이가 빵을 만들고 먹었다.,순이가빵을만들고먹었다.
296,영수가 그 새를 죽게 했으나 안 죽었다.,영수가그새를죽게했으나안죽었다.
297,영수가 그 새를 죽였으나 안 죽었다.,영수가그새를죽였으나안죽었다.
298,언제가 될지 모르지만 한번 들르지요.,언제가될지모르지만한번들르지요.
299,언제는 될지 모르지만 한번 들르지요.,언제는될지모르지만한번들르지요.
300,나는 네가 가지 말기를 바란다.,나는네가가지말기를바란다.
301,나는 그 아이가 가지 말기를 바란다.,나는그아이가가지말기를바란다.
302,노새가 나귀에 비슷하고 나귀가 노새에 비슷하다.,노새가나귀에비슷하고나귀가노새에비슷하다.
303,노새가 나귀에 비슷하고서 나귀가 노새에 비슷하다.,노새가나귀에비슷하고서나귀가노새에비슷하다.
304,어제 공책을 다 써서 공책을 사러 갔다.,어제공책을다써서공책을사러갔다.
305,내일 공책을 다 써서 공책을 사러 가겠다.,내일공책을다써서공책을사러가겠다.
306,철수가 영호가 왔다고 말했다.,철수가영호가왔다고말했다.
307,철수가 영호가 왔느냐고 말했다.,철수가영호가왔느냐고말했다.
308,나는 범인이 검문소를 통과했다고 사실을 밝혔다.,나는범인이검문소를통과했다고사실을밝혔다.
309,이 연필은 길지만 저 연필은 짧다.,이연필은길지만저연필은짧다.
310,이 연필은 길지만 저 연필은 길다.,이연필은길지만저연필은길다.
311,"담배를 피우면서, 글을 썼다.","담배를피우면서,글을썼다."
312,"담배를 피워 놓으면서, 글을 썼다.","담배를피워놓으면서,글을썼다."
313,도둑이 칼을 들고 서 있다.,도둑이칼을들고서있다.
314,도둑이 칼을 들어서 서 있다.,도둑이칼을들어서서있다.
315,친구가 가끔 여럿이 모인다.,친구가가끔여럿이모인다.
316,친구 가끔 여럿이 모인다.,친구가끔여럿이모인다.
317,영수와 철수가 함께하였다.,영수와철수가함께하였다.
318,영수가 철수한테 함께하였다.,영수가철수한테함께하였다.
319,그는 대학을 일찍 졸업하고 나서 취직을 했다.,그는대학을일찍졸업하고나서취직을했다.
320,그는 대학을 졸업하고 일찍 나서 취직을 했다.,그는대학을졸업하고일찍나서취직을했다.
321,매일 12시가 다 되어서 그는 집에 돌아온다.,매일12시가다되어서그는집에돌아온다.
322,매일 12시가 다 되기 때문에 그는 집에 돌아온다.,매일12시가다되기때문에그는집에돌아온다.
323,그가 허리를 굽히고 춤을 추었다.,그가허리를굽히고춤을추었다.
324,그가 허리를 굽혀서 춤을 추었다.,그가허리를굽혀서춤을추었다.
325,내가 덥다.,내가덥다.
326,철수가 덥다.,철수가덥다.
327,창수는 내년부터 부지런히 공부해 가겠다고 한다.,창수는내년부터부지런히공부해가겠다고한다.
328,창수는 내년부터 부지런히 공부해 오겠다고 한다.,창수는내년부터부지런히공부해오겠다고한다.
329,철수가 영수와 같이 학교에 간다.,철수가영수와같이학교에간다.
330,철수가 영수와 학교에 간다.,철수가영수와학교에간다.
331,철수가 영수를 만나고 영수에게 도와 달라고 부탁했다.,철수가영수를만나고영수에게도와달라고부탁했다.
332,나는 방금 밥을 먹겠다.,나는방금밥을먹겠다.
333,너는 바보스러워져라!,너는바보스러워져라!
334,너는 바보스러워라!,너는바보스러워라!
335,유학하려고 내가 의도한다.,유학하려고내가의도한다.
336,유학했으려고 내가 의도한다.,유학했으려고내가의도한다.
337,그가 살아 있다는 소문이 나돌았다.,그가살아있다는소문이나돌았다.
338,그의 책은 내 것보다 크다.,그의책은내것보다크다.
339,나는 너를 이 사건의 주모자를 아니라고 들었다.,나는너를이사건의주모자를아니라고들었다.
340,"6의 배수이면, 2의 배수다.","6의배수이면,2의배수다."
341,"6의 배수이라야, 2의 배수다.","6의배수이라야,2의배수다."
342,그는 저 회사에 들어갔다.,그는저회사에들어갔다.
343,그는 저 회사에 들어왔다.,그는저회사에들어왔다.
344,이 옷은 아주 새 것이다.,이옷은아주새것이다.
345,이 옷은 아주는 새 것이다.,이옷은아주는새것이다.
346,아들이 아버지를 닮았다.,아들이아버지를닮았다.
347,아버지가 아들을 닮았다.,아버지가아들을닮았다.
348,머리가 길게 자랐다.,머리가길게자랐다.
349,머리가 길이 자랐다.,머리가길이자랐다.
350,너는 영화가 보고 싶으냐?,너는영화가보고싶으냐?
351,너는 영화가 보고 싶어하느냐?,너는영화가보고싶어하느냐?
352,그가 내 말을 곧이듣는다.,그가내말을곧이듣는다.
353,그가 내 말을 곧게 듣는다.,그가내말을곧게듣는다.
354,철수는 운동장에서 뛰었다.,철수는운동장에서뛰었다.
355,철수는 운동장에 뛰었다.,철수는운동장에뛰었다.
356,이 항구에는 큰 배가 자주 들고 또 난다.,이항구에는큰배가자주들고또난다.
357,철수가 우체국에 갔어서 편지를 부쳤다.,철수가우체국에갔어서편지를부쳤다.
358,나는 그 회의에 나가지 않겠다는 결정을 내렸다.,나는그회의에나가지않겠다는결정을내렸다.
359,나는 그 회의에 안 나가겠다고 결정을 보류했다.,나는그회의에안나가겠다고결정을보류했다.
360,밥을 먹지 말고 잠을 자라.,밥을먹지말고잠을자라.
361,그 아이는 밥을 먹지 말고 잠을 잤다.,그아이는밥을먹지말고잠을잤다.
362,철수가 자기 집 소나무를 뽑아 버렸다.,철수가자기집소나무를뽑아버렸다.
363,철수에게 자기 집 소나무가 뽑혀 버렸다.,철수에게자기집소나무가뽑혀버렸다.
364,내가 추워진다.,내가추워진다.
365,어머니는 석 달된 아이에게 옷을 입혔다.,어머니는석달된아이에게옷을입혔다.
366,내가 추위에 의하여 고의로 결석되었다.,내가추위에의하여고의로결석되었다.
367,철수가 추워한다.,철수가추워한다.
368,날씨가 추워한다.,날씨가추워한다.
369,네 얼굴이 창백하지 않기를 바란다.,네얼굴이창백하지않기를바란다.
370,나는 너희를 모두가 예쁘다고 느낀다.,나는너희를모두가예쁘다고느낀다.
