,correct_sentence,wrong_sentence
124,"종류 는 강판 BCA강 ""LEAD TIME 는 120 이다. ","종류는강판BCA강""LEADTIME는120이다."
125,종류 는 강판 CTOD강 공급처 는 국내 이다. ,종류는강판CTOD강공급처는국내이다.
126,"종류 는 강판 CTOD강 ""LEAD TIME 는 105 이다. ","종류는강판CTOD강""LEADTIME는105이다."
127,종류 는 강판 CTOD강 비고 는 60t 이상는 120일 이다. ,종류는강판CTOD강비고는60t이상는120일이다.
128,종류 는 강판 HY강 공급처 는 국내 이다. ,종류는강판HY강공급처는국내이다.
129,"종류 는 강판 HY강 ""LEAD TIME 는 120 이다. ","종류는강판HY강""LEADTIME는120이다."
130,종류 는 강판 STAINLESS STEEL  공급처 는 국내 이다. ,종류는강판STAINLESSSTEEL공급처는국내이다.
131,"종류 는 강판 STAINLESS STEEL  ""LEAD TIME 는 105 이다. ","종류는강판STAINLESSSTEEL""LEADTIME는105이다."
132,종류 는 강판 STAINLESS STEEL  비고 는 JIS 규격 이다. ,종류는강판STAINLESSSTEEL비고는JIS규격이다.
133,종류 는 강판 STAINLESS STEEL  공급처 는 유럽 이다. ,종류는강판STAINLESSSTEEL공급처는유럽이다.
134,"종류 는 강판 STAINLESS STEEL  ""LEAD TIME 는 180 이다. ","종류는강판STAINLESSSTEEL""LEADTIME는180이다."
135,종류 는 강판 STAINLESS STEEL  비고 는 EN 규격 이다. ,종류는강판STAINLESSSTEEL비고는EN규격이다.
136,종류 는 형강 UPE/UPN CHANNEL 공급처 는 유럽 이다. ,종류는형강UPE/UPNCHANNEL공급처는유럽이다.
137,"종류 는 형강 UPE/UPN CHANNEL ""LEAD TIME 는 165 이다. ","종류는형강UPE/UPNCHANNEL""LEADTIME는165이다."
138,종류 는 형강 BULB FLAT 공급처 는 중국 이다. ,종류는형강BULBFLAT공급처는중국이다.
139,"종류 는 형강 BULB FLAT ""LEAD TIME 는 105 이다. ","종류는형강BULBFLAT""LEADTIME는105이다."
140,종류 는 강관 SMLS PIPE 공급처 는 국내 이다. ,종류는강관SMLSPIPE공급처는국내이다.
141,"종류 는 강관 SMLS PIPE ""LEAD TIME 는 60 이다. ","종류는강관SMLSPIPE""LEADTIME는60이다."
142,종류 는 강관 SMLS PIPE 비고 는 강림 Stock 보유 시  이다. ,종류는강관SMLSPIPE비고는강림Stock보유시이다.
143,종류 는 강관 SMLS PIPE 공급처 는 일본 이다. ,종류는강관SMLSPIPE공급처는일본이다.
144,"종류 는 강관 SMLS PIPE ""LEAD TIME 는 105 이다. ","종류는강관SMLSPIPE""LEADTIME는105이다."
145,종류 는 강관 SMLS PIPE 공급처 는 유럽 이다. ,종류는강관SMLSPIPE공급처는유럽이다.
146,"종류 는 강관 SMLS PIPE ""LEAD TIME 는 165 이다. ","종류는강관SMLSPIPE""LEADTIME는165이다."
147,종류 는 강관 SMLS PIPE 비고 는 EN 규격 이다. ,종류는강관SMLSPIPE비고는EN규격이다.
148,종류 는 강관 SQ.TUBE 공급처 는 국내 이다. ,종류는강관SQ.TUBE공급처는국내이다.
149,"종류 는 강관 SQ.TUBE ""LEAD TIME 는 90 이다. ","종류는강관SQ.TUBE""LEADTIME는90이다."
150,종류 는 강관 SQ.TUBE 비고 는 ASTM A500-B 이다. ,종류는강관SQ.TUBE비고는ASTMA500-B이다.
151,종류 는 강관 SQ.TUBE 공급처 는 유럽 이다. ,종류는강관SQ.TUBE공급처는유럽이다.
152,"종류 는 강관 SQ.TUBE ""LEAD TIME 는 165 이다. ","종류는강관SQ.TUBE""LEADTIME는165이다."
153,종류 는 강관 SAW PIPE 공급처 는 국내 이다. ,종류는강관SAWPIPE공급처는국내이다.
154,"종류 는 강관 SAW PIPE ""LEAD TIME 는 105 이다. ","종류는강관SAWPIPE""LEADTIME는105이다."
155,강재 일반개요의 POR & BOM 발행 일정에서 POR 발행과 BOM 발행 일정은 아래와 같다.,강재일반개요의POR&BOM발행일정에서POR발행과BOM발행일정은아래와같다.
156,강재 일반개요의 POR & BOM 발행 일정에서,강재일반개요의POR&BOM발행일정에서
157,표준 는 S/C -105일 이다. ,표준는S/C-105일이다.
158,선발행1) 는 S/C -발행기간2) 이다. ,선발행1)는S/C-발행기간2)이다.
159,POR 발행 는 BOM 발행 표준 는 POR 발행 -3일 이다. ,POR발행는BOM발행표준는POR발행-3일이다.
160,강재 일반개요의 강재수급일정에서 일반적인 강재 수급 일정은 아래와 같다. ,강재일반개요의강재수급일정에서일반적인강재수급일정은아래와같다.
161,강재 일반개요의 강재 품질 등급기준에서 6개월 이상 적치된 강재에 대해 선 전처리 후 품질 등급을 판정한다. 등급에 대한 강재 사용 기준은 아래의 표와 같다,강재일반개요의강재품질등급기준에서6개월이상적치된강재에대해선전처리후품질등급을판정한다.등급에대한강재사용기준은아래의표와같다
162,·등급 표기는 재고현황의 배치정보에서 확인 가능하다.,·등급표기는재고현황의배치정보에서확인가능하다.
163,강재 일반개요의 강재 품질 등급기준에서,강재일반개요의강재품질등급기준에서
164,등급 는 A 사용 기준 는 모두 사용 가능 이다. ,등급는A사용기준는모두사용가능이다.
165,"등급 는 B 사용 기준 는 소형 부재 (Bracket, Stiffener류) 이다. ","등급는B사용기준는소형부재(Bracket,Stiffener류)이다."
166,등급 는 C 사용 기준 는 호선용으로 사용 불가하며 비수익 공사로 사용  이다. ,등급는C사용기준는호선용으로사용불가하며비수익공사로사용이다.
167,강재 일반개요의 강재 수율에서 선박/해양 공사의 구조 강재수율은 선박 원가에 미치는 영향이 지대하므로 이의 향상을 위하여 먼저 강재수율의 정의를 통일하고 관련 부서에 강재수율 향상에 대한 관심을 재고시키기 위함이다.,강재일반개요의강재수율에서선박/해양공사의구조강재수율은선박원가에미치는영향이지대하므로이의향상을위하여먼저강재수율의정의를통일하고관련부서에강재수율향상에대한관심을재고시키기위함이다.
168,자세한 내용은 표준 구조 강재수율 관리기준(DSE-201711-0054)을 참조한다.,자세한내용은표준구조강재수율관리기준(DSE-201711-0054)을참조한다.
169,1) 수율용어,1)수율용어
170,·견적수율 는 프로젝트 입찰 시 적용하는 수율,·견적수율는프로젝트입찰시적용하는수율
171,·기준수율 는 인도 완료된 호선의 선종별 평균수율,·기준수율는인도완료된호선의선종별평균수율
172,·목표수율 는 기준수율 대비 향상 의지가 반영된 수율,·목표수율는기준수율대비향상의지가반영된수율
173,·설계수율 는 설계 투입물량에 대한 수율,·설계수율는설계투입물량에대한수율
174,·최종수율 는 최종 투입물량에 대한 수율,·최종수율는최종투입물량에대한수율
175,·Net WT. 는 조립물량(조립BOM),·NetWT.는조립물량(조립BOM)
176,"설계 투입물량 는 본물량 및 설계 요인에 의해 투입된 강재 불출물량 (단, 잔재 사용량은 제외한다.)","설계투입물량는본물량및설계요인에의해투입된강재불출물량(단,잔재사용량은제외한다.)"
177,"최종 투입물량 는 본물량 및 설계, 현장, 기타 요인으로 투입된 전체 강재 불출물량 (단, 잔재 사용량은 제외한다.)","최종투입물량는본물량및설계,현장,기타요인으로투입된전체강재불출물량(단,잔재사용량은제외한다.)"
